pool_address,y,x,z,true_profit,naive_profit
0xcb6bb2b6670f7f9bb53e7341b0dad3f0da105629,0.9097505855821126,0.92511791,0.0,-0.0153673244178873,-0.0153673244178873
0x2931b3978a0ace5007d7eca766cd202f6c045f9d,0.9100613750027428,0.92511791,0.0,-0.0150565349972571,-0.0150565349972571
0xdfe777edbf66e97d659a2a78d16feb8dbac788ea,1.5137444367507866,1.5251202300000002,0.0,-0.0113757932492135,-0.0113757932492135
0xcd2493bc66830bf38d0b714b55538c8a4f56ad33,1.7155029499436472,1.725117485,0.0,-0.0096145350563527,-0.0096145350563527
0x778074041675fa5cf884941dd75eb838d26ba1a0,2.5174252297247515,2.525118155,0.0,-0.0076929252752484,-0.0076929252752484
0x5ca8d1d166585d6e5f3e6ba1a51d61a21a5d2dc4,10.018212560157371,10.025194875,0.0,-0.0069823148426273,-0.0069823148426273
0xce9c9d2e97ae3ec8c6198b4ad1d99a7e9daa883e,1.0187427099019584,1.02511969,0.0,-0.0063769800980415,-0.0063769800980415
0x6f2ad6ee39d52cc742cd0268e4b524e7225e0d5c,1.218750459918031,1.2251161549999998,0.0,-0.0063656950819688,-0.0063656950819688
0x827cfe3c8729295a2d054a46d279998aa48e695d,10.020678436855416,10.025120655,0.0,-0.0044422181445842,-0.0044422181445842
0x357bb6392d76f9c75978bba56d6f62047f670b17,1.4217457130475648,1.42511803,0.0,-0.0033723169524351,-0.0033723169524351
0x94835e26a9f0b86b4539f656cccfa6217a733595,1.4247380628813242,1.42512098,0.0,-0.0003829171186757,-0.0003829171186757
0x6f954147dcce8d4ba3baf8e6b8c5a9b240c2036f,1.027041587594839,1.02511773,0.0,0.0019238575948392,0.0019238575948392
0x882092da074c851f57050f7fe704daab4776e972,1.3273549219067466,1.3251186,0.0,0.0022363219067467,0.0022363219067467
0xc085f25a416d63e588eecd7be64b22f2766ebd29,1.6287386002956,1.6251198100000002,0.0,0.0036187902955997,0.0036187902955997
0x8866b986128a8d18378133fc93ef5a1e42f636f5,1.5297380202050928,1.52512011,0.0,0.0046179102050927,0.0046179102050927
0x133284d08be89e1f01393f2b43233257fc0d0d6a,1.835189336349371,1.825117915,0.0,0.0100714213493711,0.0100714213493711
0x9f78111c3ff42958f5d20e6aa9b1e4e0f3d0010a,1.5353743495272945,1.5251202300000002,0.0,0.0102541195272942,0.0102541195272942
0x2c5e44e4f4818f04d652c6ce275453753924c348,1.238738833034536,1.2251177299999998,0.0,0.0136211030345361,0.0136211030345361
0xfede6a6d4684e65fb268fa9133a361880a6ea9f5,1.1387401718065238,1.125117185,0.0,0.0136229868065238,0.0136229868065238
0x007df168886544a969e0fe30fc230840c7784e18,2.0388714021294727,2.0251183349999997,0.0,0.0137530671294729,0.0137530671294729
0x5e4b64d87cb58d5fbca4a761c3919a90a8ed9242,1.4391683560351782,1.42511957,0.0,0.0140487860351783,0.0140487860351783
0xe5fee3c5724833eab4749a969c61f0ba5970b29a,1.548805769596777,1.52519505,0.0,0.0236107195967769,0.0236107195967769
0x1156be06d17df680924524f298151d27696fe930,1.648737369621198,1.62511676,0.0,0.0236206096211979,0.0236206096211979
0xfd76ed1ea14721d45ca63ef8182d9f0068eee5db,2.252791267845806,2.225117605,0.0,0.0276736628458067,0.0276736628458067
0x6b431e7fe6309e5fb6ec564572db553fa26a89ea,1.753548416576863,1.725190855,0.0,0.0283575615768627,0.0283575615768627
0xbccd5a5e04e43aaf4b771c7d83e19c2baa44150a,1.4572708255406666,1.42511408,0.0,0.0321567455406666,0.0321567455406666
0x847f8fd99c88acc69b28f84638d3e7235397f678,1.0619273385732686,1.02519493,0.0,0.0367324085732685,0.0367324085732685
0x14979b570e8a90af301393e49597993672b59784,1.5625799414079131,1.525119985,0.0,0.0374599564079132,0.0374599564079132
0x0e4b861278ef5e87ba915e8dba1c39128a9fb03c,1.0627255078281264,1.025119265,0.0,0.0376062428281263,0.0376062428281263
0x9f400ad814d7cad2c6e586795cd3218a0b61ffc2,1.165290798301606,1.12511872,0.0,0.0401720783016057,0.0401720783016057
0xe6fbb38536bfc9b0ca0fc0ccd8fabacfb1b5a948,1.4684328172072951,1.42511993,0.0,0.0433128872072954,0.0433128872072954
0x5c21ba01e95890314b7f538a4dca9d89ff289860,1.0687381022544598,1.02519547,0.0,0.0435426322544598,0.0435426322544598
0x667be25d3bbdd8f642919b147f9efc755f097812,2.0819544549131495,2.025118215,0.0,0.0568362399131494,0.0568362399131494
0xe2abb60187929446fadcd665f4eaba05d2b77b93,2.0853326432505552,2.025118275,0.0,0.0602143682505551,0.0602143682505551
0xd088f41338329a63c00f1aebd81dadb7458d51ee,1.8883700939447163,1.82512023,0.0,0.0632498639447163,0.0632498639447163
0x9794828daa40fea9fa410664c63e962e5e66148b,2.2981918025777657,2.225195475,0.0,0.0729963275777656,0.0729963275777656
0x83880c699969903d0436bc1c0ea3d7c455c340bb,1.099858289531708,1.025119625,0.0,0.074738664531708,0.074738664531708
0x6564a3ee2dc27c03d77395fb1364e1bf68bba6bd,1.901750541295691,1.82512005,0.0,0.076630491295691,0.076630491295691
0xf3c811f9e5abe81f9bdac530b7e5fd5bc0f2dd7a,1.1159469799386232,1.02519523,0.0,0.0907517499386232,0.0907517499386232
0xe7f3580365c0b7c036349f4a79e1c7b7667af7c7,1.5175874255965032,1.4251198699999998,0.0,0.0924675555965033,0.0924675555965033
0x5ed4c5918b76dabb33386b6643995511cfa4265d,0.618375872558355,0.52511706,0.0,0.093258812558355,0.093258812558355
0xf2af69c0b06a27aac346160c73fd7a7052ff7d09,1.919059406223554,1.82519505,0.0,0.0938643562235539,0.0938643562235539
0x2e520bcee3f580104f42502a8974ef1f3dc068d1,1.1194316514937148,1.02511749,0.0,0.0943141614937148,0.0943141614937148
0x9fe47f1c1394dbb3d48ad6eb230a4c1fba55dc71,1.52420693082562,1.42511993,0.0,0.0990870008256201,0.0990870008256201
