,cluster_id,no of V,no of E,width,len,inputs,outputs,fund_in,fund_out
3315,0x464cff7479daa0ebaa60cd40b6eee09f18d171c40fcb1d6b8c3f25458ae716b7,2,1,1,1,['0xa549dee278da36cf4eae5db8d8f36d423cf54744'],['0x4b70c1d7b51ed5b502096a65453938e7aa87401a'],0.6268992574899438,0.6268992574899438
3316,0xdfbab86149768ef9b8bd4fa0e23668c409e1c53aa53be487106f30b8f32a506a,2,1,1,1,['0x3fbf146737a5a585ce7239196fc722fd58f263f2'],['0xe304fe525e8e4d11f8311c4ddde7562bb14f657a'],3.20960351523092,3.20960351523092
3317,0xacf683b7ed615d1f8cba65d741e75c4f7bc70464af402f304d71e75a878a6f7d,2,1,1,1,['0x5531b548b733eaf2e971f0e46ccb8802be9ca8b5'],['0xed6a888a01ca28527f0058c26b3f2586800518bd'],112.44765669586504,112.44765669586504
3318,0x37148561e3a4f1cb207112915225baa75e43bbb60f58a33197cfef6d2cea499e,3,2,1,2,['0xf9c06c2834aa6810031f7a786c98431786805241'],['0xc2245e96c160a3145a662637cb0c73871eaa8b66'],1.3792544951958021,1.3786842129262615
3319,0xa6d3af8727ce70413ad09ee34fd3dc92278a58f375e0d237f8c82146ba8e67e1,2,1,1,1,['0xe9ce65dc63c3496425ae92514866c12b721e2e88'],['0xfc6c74fb627f3ce307d9ad3347019662cc8444d5'],7.630689640534467,7.630689640534467
3320,0xb54a75ec2b1c0ee73fa7d9ad190d6a508bf1306f9b53e71a7ffae75ed40a7980,3,2,1,2,['0x81474cca93001debd7d9438aaadb6b20a6dbe223'],['0x2fbfedc0b41defed2011cd6905f6197d8dcfcceb'],1.0809717805347188,1.035391151102218
3321,0x253564b326e6ad265c588c251737e05e248612d3e9958dcab2d07fdb05e01f75,2,1,1,1,['0xdda7617b9e7bcb458f27801569823bd552c66ac6'],['0x882d69952e75a7f2e181c3b3cad07fbc12a96517'],3.857883638778906,3.857883638778906
3322,0xcc26254c5b4c6e937e677f9371dbf400c23c18b039b3f88169348d00480b4dd1,2,1,1,1,['0x7a5c90b1bcebb2903e9ae0f0a8f1aac15f980960'],['0xfbbc831fe6b6cffbc5615243ceb28ff402812d6c'],2.1,2.1
3323,0x53c2b77f9d18100cc6bf8744e5a5dda0d393339409b7c48bb15f38107057c467,3,2,2,1,"['0x4a93e66f4cad36e6846b9a9812ff927bfe7d67bb', '0x47b67323b70656a2ff98d959ee828d7b2e16d240']","['0x4a93e66f4cad36e6846b9a9812ff927bfe7d67bb', '0xa67b28b303fce7117c9a1b61fcdb0fb2aedcb16b']",0.75,0.92
3324,0x1dee4f52d384e4d49b099befa87cc7c31a685213d6739850748420086d959e02,2,1,1,1,['0xea33f33a2089fde8cbf1d3e25d8a8fda9395b93b'],['0x54980774a79e492cff7eef229e10d397fd753cbc'],15.584231158847816,15.584231158847816
3325,0xabb0189eeacaf6f515544d7d35ae6f1e3f32afb9a38562acaf617baf88894711,2,1,1,1,['0xfad3fb76d708ce8724fc80046445f7f326478d3b'],['0xbb5ade94380ec6cc62239b7ea8e9c38cb4fed11c'],3.0,3.0
3326,0xcd6e465fb1550105ecb9115f3c9928a07bc061806a6d68b984477be0d6225890,2,1,1,1,['0xbd208abae677f6e47f3be4af0eda4030b26bda33'],['0xd1929df8314b40f01bbf434304c2cca881114b2e'],20.436032018863493,20.436032018863493
3327,0x28497690628f6d3abe791f965e18b7977606976d3341c54b48f3e418944867ff,4,3,1,3,['0x0326d86e6dc51e3c787174272803efbc7e4195e8'],['0xcd9cd8bd71d391e60d0dfa98261b5301521b4e2b'],1.8,1.7142687179094518
3328,0x230e98592020c14e2a9efb50a0da5f166e8a41c0118ab353806a32490b04d4a8,2,1,1,1,['0x44467cc151c6835859968317c96fd5cf3326a8ca'],['0x03cec1daa64815248ed206eebccfdbe53474934d'],5.693085309038573,5.693085309038573
3329,0x152b70484f9a0c1cdcb6aaa302382406cd2accbddcf4d51322bcb19d18054d49,3,2,1,2,['0x464e2e20c1368849b407cdefdd3401e3b0a14ab8'],['0x5fb93145c01a7f689e4df987d6bf313daf8038f4'],30.0,25.0
3330,0x33d8bdcd5f3e275a80c9a25d663dd55d9530380f0353fd1f995dbca0662500ec,2,1,1,1,['0x560af0b6461f4f1b83097c92b6f6187dd5633494'],['0xd4eadf2234c566222dea4a5a73bfa3167dd85485'],62.477763568892875,62.477763568892875
3331,0x31995134043d3bad290b8208fae06b4e0775ae835adac88287cbdb36be749e3b,2,1,1,1,['0x771e7e134fe0f138a30f80ba873c9ba3717f3ad9'],['0xa97de0e4f595adcd84fe9c806a22b4aff0c5baf5'],30.199738600337653,30.199738600337653
